"filename", "language", "HTML", "CSS", "JavaScript", "JSON", "Firebase Rules", "Markdown", "YAML", "comment", "blank", "total"
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\product css\all css\mdb-pro.min.css", "CSS", 0, 6, 0, 0, 0, 0, 0, 27, 0, 33
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\product css\all css\mdb.ecommerce.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 9, 2, 12
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\product css\drools css\Drools Chicken and Egg Adult Dog Food, 18kg (15kg + 3kg Free Inside).css", "CSS", 0, 664, 0, 0, 0, 0, 0, 48, 134, 846
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\product css\drools css\Drools Chicken and Egg Adult Dog Food, 18kg (15kg + 3kg Free Inside).html", "HTML", 804, 0, 0, 0, 0, 0, 0, 191, 200, 1195
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\product css\drools css\drools.css", "CSS", 0, 704, 0, 0, 0, 0, 0, 49, 139, 892
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\product css\n & d css\FARMINA ND Ancestral Grain - Chicken _ Pomegranate - Dog Dry Food - Puppy - Medium _ Maxi Breed 2.5 kg.css", "CSS", 0, 663, 0, 0, 0, 0, 0, 49, 136, 848
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\product css\n & d css\FARMINA N_D Ancestral Grain - Chicken _ Pomegranate - Dog Dry Food - Puppy - Medium _ Maxi Breed 2.5 kg.html", "HTML", 846, 0, 0, 0, 0, 0, 0, 194, 205, 1245
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\product css\n & d css\Farmmina N & D.css", "CSS", 0, 701, 0, 0, 0, 0, 0, 49, 143, 893
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\product css\pedigri css\pedigri.css", "CSS", 0, 615, 0, 0, 0, 0, 0, 43, 126, 784
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\product css\pedigri css\pedigri1.css", "CSS", 0, 573, 0, 0, 0, 0, 0, 36, 113, 722
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\product css\pedigri css\pedigri1.html", "HTML", 689, 0, 0, 0, 0, 0, 0, 162, 168, 1019
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\product css\royal canin css\Royal Canin Labrador Retriever Puppy Dry Dog Food.css", "CSS", 0, 596, 0, 0, 0, 0, 0, 38, 126, 760
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\product css\royal canin css\Royal Canin Labrador Retriever Puppy Dry Dog Food.html", "HTML", 697, 0, 0, 0, 0, 0, 0, 210, 173, 1080
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\product js\js\bootstrap.js", "JavaScript", 0, 0, 3347, 0, 0, 0, 0, 325, 850, 4522
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\product js\js\mdb.ecommerce.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 1, 0, 2
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\product js\js\mdb.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\product js\js\popper.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 4, 1, 6
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\s7sBCbSff4gystEMf9aQ.html", "HTML", 471, 0, 0, 0, 0, 0, 0, 74, 3, 548
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\templetes\droolsTemplete.html", "HTML", 599, 0, 0, 0, 0, 0, 0, 151, 135, 885
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\templetes\pedigreeTemplete.html", "HTML", 490, 0, 0, 0, 0, 0, 0, 136, 112, 738
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\templetes\trial.html", "HTML", 413, 0, 0, 0, 0, 0, 0, 56, 3, 472
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\dp\zImDO7mm7u57WebdFDtN.html", "HTML", 417, 0, 0, 0, 0, 0, 0, 56, 3, 476
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\eror.html", "HTML", 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\event\event.html", "HTML", 87, 0, 0, 0, 0, 0, 0, 0, 15, 102
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\footer.html", "HTML", 46, 0, 0, 0, 0, 0, 0, 9, 12, 67
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\graficcard.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\index.html", "HTML", 1136, 0, 0, 0, 0, 0, 0, 294, 147, 1577
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\js\app.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 1, 1, 3
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\js\flickity.pkgd.min.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 48, 0, 56
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\lightslider.css", "CSS", 0, 350, 0, 0, 0, 0, 0, 16, 26, 392
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\lightslider.js", "JavaScript", 0, 0, 1102, 0, 0, 0, 0, 11, 28, 1141
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\login\login.css", "CSS", 0, 213, 0, 0, 0, 0, 0, 256, 94, 563
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\login\login.html", "HTML", 65, 0, 0, 0, 0, 0, 0, 28, 19, 112
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\login\login.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 6, 11, 34
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\login\otp.js", "JavaScript", 0, 0, 45, 0, 0, 0, 0, 66, 25, 136
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\main.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 13, 14, 44
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\navbar.html", "HTML", 46, 0, 0, 0, 0, 0, 0, 3, 9, 58
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\navbar\navbar.css", "CSS", 0, 131, 0, 0, 0, 0, 0, 0, 2, 133
